Image,Label,Size,Format
Data/Man/face_0.jpg,0,"(121, 170)",jpg
Data/Man/face_1.jpg,0,"(106, 146)",jpg
Data/Man/face_2.jpg,0,"(148, 248)",jpg
Data/Man/face_3.jpg,0,"(140, 201)",jpg
Data/Man/face_4.jpg,0,"(202, 263)",jpg
Data/Man/face_5.jpg,0,"(76, 100)",jpg
Data/Man/face_6.jpg,0,"(50, 83)",jpg
Data/Man/face_7.jpg,0,"(123, 170)",jpg
Data/Man/face_8.jpg,0,"(171, 241)",jpg
Data/Man/face_9.jpg,0,"(149, 216)",jpg
Data/Man/face_10.jpg,0,"(371, 476)",jpg
Data/Man/face_11.jpg,0,"(120, 158)",jpg
Data/Man/face_12.jpg,0,"(660, 898)",jpg
Data/Man/face_13.jpg,0,"(142, 189)",jpg
Data/Man/face_14.jpg,0,"(237, 328)",jpg
Data/Man/face_16.jpg,0,"(1699, 2114)",jpg
Data/Man/face_17.jpg,0,"(362, 475)",jpg
Data/Man/face_18.jpg,0,"(92, 128)",jpg
Data/Man/face_19.jpg,0,"(129, 181)",jpg
Data/Man/face_20.jpg,0,"(120, 188)",jpg
Data/Man/face_21.jpg,0,"(211, 307)",jpg
Data/Man/face_22.jpg,0,"(1046, 1446)",jpg
Data/Man/face_23.jpg,0,"(92, 130)",jpg
Data/Man/face_24.jpg,0,"(96, 140)",jpg
Data/Man/face_25.jpg,0,"(112, 183)",jpg
Data/Man/face_26.jpg,0,"(435, 603)",jpg
Data/Man/face_27.jpg,0,"(324, 426)",jpg
Data/Man/face_28.jpg,0,"(61, 86)",jpg
Data/Man/face_29.jpg,0,"(159, 221)",jpg
Data/Man/face_30.jpg,0,"(102, 136)",jpg
Data/Man/face_31.jpg,0,"(149, 220)",jpg
Data/Man/face_32.jpg,0,"(125, 179)",jpg
Data/Man/face_33.jpg,0,"(165, 230)",jpg
Data/Man/face_34.jpg,0,"(234, 330)",jpg
Data/Man/face_35.jpg,0,"(196, 266)",jpg
Data/Man/face_36.jpg,0,"(199, 264)",jpg
Data/Man/face_38.jpg,0,"(72, 80)",jpg
Data/Man/face_39.jpg,0,"(255, 359)",jpg
Data/Man/face_40.jpg,0,"(76, 96)",jpg
Data/Man/face_41.jpg,0,"(233, 320)",jpg
Data/Man/face_42.jpg,0,"(223, 303)",jpg
Data/Man/face_43.jpg,0,"(149, 188)",jpg
Data/Man/face_44.jpg,0,"(135, 181)",jpg
Data/Man/face_45.jpg,0,"(197, 271)",jpg
Data/Man/face_47.jpg,0,"(132, 177)",jpg
Data/Man/face_48.jpg,0,"(96, 121)",jpg
Data/Man/face_49.jpg,0,"(192, 268)",jpg
Data/Man/face_50.jpg,0,"(324, 438)",jpg
Data/Man/face_51.jpg,0,"(443, 634)",jpg
Data/Man/face_52.jpg,0,"(129, 172)",jpg
Data/Man/face_53.jpg,0,"(134, 172)",jpg
Data/Man/face_54.jpg,0,"(268, 394)",jpg
Data/Man/face_55.jpg,0,"(412, 568)",jpg
Data/Man/face_56.jpg,0,"(153, 206)",jpg
Data/Man/face_57.jpg,0,"(113, 176)",jpg
Data/Man/face_58.jpg,0,"(144, 211)",jpg
Data/Man/face_60.jpg,0,"(86, 125)",jpg
Data/Man/face_61.jpg,0,"(192, 229)",jpg
Data/Man/face_63.jpg,0,"(137, 186)",jpg
Data/Man/face_64.jpg,0,"(607, 838)",jpg
Data/Man/face_65.jpg,0,"(68, 102)",jpg
Data/Man/face_66.jpg,0,"(66, 85)",jpg
Data/Man/face_67.jpg,0,"(113, 159)",jpg
Data/Man/face_68.jpg,0,"(2269, 3068)",jpg
Data/Man/face_69.jpg,0,"(326, 471)",jpg
Data/Man/face_71.jpg,0,"(157, 237)",jpg
Data/Man/face_72.jpg,0,"(107, 143)",jpg
Data/Man/face_73.jpg,0,"(1039, 1393)",jpg
Data/Man/face_74.jpg,0,"(219, 308)",jpg
Data/Man/face_75.jpg,0,"(37, 46)",jpg
Data/Man/face_76.jpg,0,"(53, 83)",jpg
Data/Man/face_77.jpg,0,"(72, 99)",jpg
Data/Man/face_78.jpg,0,"(166, 225)",jpg
Data/Man/face_79.jpg,0,"(44, 58)",jpg
Data/Man/face_80.jpg,0,"(224, 327)",jpg
Data/Man/face_82.jpg,0,"(193, 254)",jpg
Data/Man/face_83.jpg,0,"(249, 332)",jpg
Data/Man/face_84.jpg,0,"(131, 173)",jpg
Data/Man/face_85.jpg,0,"(332, 496)",jpg
Data/Man/face_87.jpg,0,"(131, 170)",jpg
Data/Man/face_88.jpg,0,"(215, 292)",jpg
Data/Man/face_89.jpg,0,"(119, 160)",jpg
Data/Man/face_90.jpg,0,"(276, 355)",jpg
Data/Man/face_91.jpg,0,"(101, 129)",jpg
Data/Man/face_92.jpg,0,"(67, 86)",jpg
Data/Man/face_93.jpg,0,"(168, 232)",jpg
Data/Man/face_94.jpg,0,"(128, 174)",jpg
Data/Man/face_95.jpg,0,"(186, 259)",jpg
Data/Man/face_96.jpg,0,"(141, 194)",jpg
Data/Man/face_97.jpg,0,"(266, 348)",jpg
Data/Man/face_98.jpg,0,"(161, 238)",jpg
Data/Man/face_99.jpg,0,"(177, 271)",jpg
Data/Man/face_101.jpg,0,"(430, 555)",jpg
Data/Man/face_103.jpg,0,"(113, 147)",jpg
Data/Man/face_104.jpg,0,"(103, 136)",jpg
Data/Man/face_105.jpg,0,"(194, 273)",jpg
Data/Man/face_106.jpg,0,"(123, 175)",jpg
Data/Man/face_107.jpg,0,"(140, 198)",jpg
Data/Man/face_108.jpg,0,"(57, 79)",jpg
Data/Man/face_109.jpg,0,"(140, 204)",jpg
Data/Man/face_110.jpg,0,"(154, 215)",jpg
Data/Man/face_111.jpg,0,"(61, 91)",jpg
Data/Man/face_112.jpg,0,"(106, 153)",jpg
Data/Man/face_113.jpg,0,"(474, 578)",jpg
Data/Man/face_114.jpg,0,"(234, 327)",jpg
Data/Man/face_115.jpg,0,"(154, 198)",jpg
Data/Man/face_116.jpg,0,"(168, 212)",jpg
Data/Man/face_117.jpg,0,"(215, 272)",jpg
Data/Man/face_118.jpg,0,"(1062, 1433)",jpg
Data/Man/face_119.jpg,0,"(160, 193)",jpg
Data/Man/face_120.jpg,0,"(260, 340)",jpg
Data/Man/face_122.jpg,0,"(164, 228)",jpg
Data/Man/face_123.jpg,0,"(138, 167)",jpg
Data/Man/face_124.jpg,0,"(166, 230)",jpg
Data/Man/face_125.jpg,0,"(256, 390)",jpg
Data/Man/face_126.jpg,0,"(194, 262)",jpg
Data/Man/face_127.jpg,0,"(194, 255)",jpg
Data/Man/face_128.jpg,0,"(186, 302)",jpg
Data/Man/face_129.jpg,0,"(416, 513)",jpg
Data/Man/face_130.jpg,0,"(122, 164)",jpg
Data/Man/face_131.jpg,0,"(256, 332)",jpg
Data/Man/face_132.jpg,0,"(116, 120)",jpg
Data/Man/face_133.jpg,0,"(155, 204)",jpg
Data/Man/face_134.jpg,0,"(36, 47)",jpg
Data/Man/face_135.jpg,0,"(229, 268)",jpg
Data/Man/face_136.jpg,0,"(358, 506)",jpg
Data/Man/face_137.jpg,0,"(77, 108)",jpg
Data/Man/face_138.jpg,0,"(158, 219)",jpg
Data/Man/face_139.jpg,0,"(91, 122)",jpg
Data/Man/face_140.jpg,0,"(125, 175)",jpg
Data/Man/face_141.jpg,0,"(226, 250)",jpg
Data/Man/face_142.jpg,0,"(55, 78)",jpg
Data/Man/face_143.jpg,0,"(653, 882)",jpg
Data/Man/face_144.jpg,0,"(147, 201)",jpg
Data/Man/face_145.jpg,0,"(309, 460)",jpg
Data/Man/face_146.jpg,0,"(59, 68)",jpg
Data/Man/face_147.jpg,0,"(68, 87)",jpg
Data/Man/face_148.jpg,0,"(93, 126)",jpg
Data/Man/face_149.jpg,0,"(274, 372)",jpg
Data/Man/face_151.jpg,0,"(178, 254)",jpg
Data/Man/face_152.jpg,0,"(102, 142)",jpg
Data/Man/face_153.jpg,0,"(148, 193)",jpg
Data/Man/face_154.jpg,0,"(213, 309)",jpg
Data/Man/face_156.jpg,0,"(1038, 1391)",jpg
Data/Man/face_157.jpg,0,"(24, 38)",jpg
Data/Man/face_158.jpg,0,"(101, 126)",jpg
Data/Man/face_159.jpg,0,"(288, 372)",jpg
Data/Man/face_160.jpg,0,"(118, 157)",jpg
Data/Man/face_161.jpg,0,"(174, 242)",jpg
Data/Man/face_162.jpg,0,"(840, 1185)",jpg
Data/Man/face_163.jpg,0,"(304, 454)",jpg
Data/Man/face_164.jpg,0,"(260, 364)",jpg
Data/Man/face_165.jpg,0,"(278, 364)",jpg
Data/Man/face_167.jpg,0,"(325, 460)",jpg
Data/Man/face_168.jpg,0,"(122, 170)",jpg
Data/Man/face_169.jpg,0,"(312, 448)",jpg
Data/Man/face_170.jpg,0,"(441, 577)",jpg
Data/Man/face_171.jpg,0,"(313, 463)",jpg
Data/Man/face_172.jpg,0,"(98, 131)",jpg
Data/Man/face_173.jpg,0,"(80, 110)",jpg
Data/Man/face_174.jpg,0,"(223, 290)",jpg
Data/Man/face_175.jpg,0,"(131, 207)",jpg
Data/Man/face_176.jpg,0,"(269, 363)",jpg
